time,mem_usage_ram,mem_usage_swap,net_fifo_n3_receive,net_fifo_n3_transmit,net_packets_eth0_received,net_packets_eth0_sent,net_packets_eth0_multicast,io_read,io_write,pgfaults_pgfault,pgfaults_swap,mem_anon,mem_kernel_stack,mem_slab,mem_sock,mem_anon_thp,mem_file,net_events_n3_frames,net_events_n3_collisions,net_events_n3_carrier,net_drops_n3_inbound,net_drops_n3_outbound,net_packets_n3_received,net_packets_n3_sent,net_packets_n3_multicast,mem_usage_limit_available,mem_usage_limit_used,cpu_user,cpu_system,net_n3_received,net_n3_sent,mem_utilization_utilization,cpu_limit_used,net_errors_n3_inbound,net_errors_n3_outbound
2025-07-07 14:18:09,285.0586,0,0,0,0,0,0,0,0.0,9.364287,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68865.07,0,0,226.9414,285.0586,0.4118892,0.8734392,611522.5,0,55,5.278,0,0
2025-07-07 14:18:10,285.0625,0,0,0,0,0,0,0,0.0,9.333389,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,69064.45,0,0,226.9375,285.0625,0.4334812,0.9203054,613291.5,0,55,5.5032,0,0
2025-07-07 14:18:11,285.0938,0,0,0,0,0,0,0,0.0,9.345943,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68963.66,0,0,226.9062,285.0938,0.5651034,0.8335829,612397.6,0,55,5.6532,0,0
2025-07-07 14:18:12,285.082,0,0,0,0,0,0,0,-2.440168,9.357809,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68947.86,0,0,226.918,285.082,0.4817025,0.8612171,612256.6,0,55,5.1916,0,0
2025-07-07 14:18:13,285.0977,0,0,0,0,0,0,0,-1.5598319,9.341955,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68937.42,0,0,226.9023,285.0977,0.6767319,0.5838825,612164.2,0,55,4.9472,0,0
2025-07-07 14:18:14,285.0508,0,0,0,0,0,0,0,0.0,9.378534,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68907.58,0,0,226.9492,285.0508,0.50561,0.9055598,611899.8,0,55,6.0908,0,0
2025-07-07 14:18:15,285.0469,0,0,0,0,0,0,0,0.0,9.383759,0,20.40625,0.46875,165.59462,0.0039062,0,293.1484,0,0,0,0,0,68898.58,0,0,226.9531,285.0469,0.3580262,0.9822499,611819.0,0,55,4.8976,0,0
2025-07-07 14:18:16,285.0508,0,0,0,0,0,0,0,0.0,9.374871,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68919.17,0,0,226.9492,285.0508,0.2007991,1.1090401,612002.1,0,55,5.456,0,0
2025-07-07 14:18:17,285.0391,0,0,0,0,0,0,0,-2.439614,9.366578,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68874.04,0,0,226.9609,285.0391,0.0301922,1.1649489,611602.9,0,55,4.3484,0,0
2025-07-07 14:18:18,285.0391,0,0,0,0,0,0,0,-1.5603856,9.397636,0,20.40625,0.46875,165.59355,0.0039062,0,293.1484,0,0,0,0,0,68921.96,0,0,226.9609,285.0391,0.0,1.3742815,612027.4,0,55,6.2332,0,0
2025-07-07 14:18:19,285.0508,0,0,0,0,0,0,0,0.0,9.400604,0,20.40625,0.46875,165.59355,0.0039062,0,293.1484,0,0,0,0,0,68661.22,0,0,226.9492,285.0508,0.2778881,1.219462,609710.6,0,55,5.8308,0,0
2025-07-07 14:18:20,285.0547,0,0,0,0,0,0,0,0.0,9.375187,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,68823.25,0,0,226.9453,285.0547,0.2700075,1.1915262,611149.3,0,55,5.854,0,0
2025-07-07 14:18:21,285.043,0,0,0,0,0,0,0,0.0,9.414946,0,20.40625,0.46875,165.59377,0.0039062,0,293.1484,0,0,0,0,0,68961.69,0,0,226.957,285.043,0.3178404,1.0246997,612380.6,0,55,5.0632,0,0
2025-07-07 14:18:22,285.0547,0,0,0,0,0,0,0,-2.43959,9.398324,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,43260.39,0,0,226.9453,285.0547,0.8614656,0.5593264,384148.8,0,55,6.0804,0,0
2025-07-07 14:18:23,285.0469,0,0,0,0,0,0,0,-1.56041,9.367896,0,20.40625,0.46875,165.59291,0.0039062,0,293.1484,0,0,0,0,0,7246.036,0,0,226.9531,285.0469,0.4450985,0.9327415,64340.53,0,55,5.1468,0,0
